word,phonetic,pos,meaning,examples,memory_methods,derivatives,collocations,extensions,chapter,source_page,source_book,confidence
abandon,/əˈbændən/,vt.,放弃；抛弃；放纵，使沉湎于,He abandoned his wife and went away with all their money. 他抛弃了 他的妻儿并带走了他们所有的钱。 abandon,"划分：a | band | on 针对第1个元素采用含义联想法：a 为熟悉单词，意为一，一个； 针对第2个元素采用含义联想法：band 为已经记忆过的单词，意为 n.乐队； 针对第3个元素采用含义联想法：on 为已经记忆过的单词，意为 prep.在…上； 综合考虑 a（一个）+ band（乐队）+ on（在…上）——> 只有一个乐队登台表 演。想象你在网上看到了一场音乐节的宣传推广，可仔细一看发现只有一个（a） 乐队（band）会登台演出（on），而且那个乐队还不是你喜欢的乐队。 这让你兴趣骤降，最后决定""放弃/抛弃""去看这场音乐节的打算。具体刻画知道音 乐节只有一个乐队时的失望心情，从而记住 abandon 表示 vt.放弃；抛弃；由""放 弃，抛弃""的含义进行延伸再联系""放纵""的含义 ——> 放弃控制自己，使自己彻底 沉浸，即表示 vt.放纵，使沉湎于",,abandon oneself to 纵情于，沉溺于；with abandon 放纵地，放任 地；纵情地,,Part4,888,单词突围5200 上册,1.0
ability,/ˈdɒmɪnənt/,,ad .占优势的，支配的，统治的；居高临下的，高耸的,Total independence is a dominant theme in our culture. 绝对自主思考 在我们的文化中占主导地位。 常用搭配：a dominant position 统治地位；a dominant building 高耸的建筑 物； dominance dominant ability,"dominate 为已经记忆过的单词，表示 vt.在…中占领首要地位；支配，统治，控 制；vi.拥有优势；末尾去掉 -ate 动词后缀，加上 -ant 形容词后缀，得到核心含义 相同的形容词含义，即 ad .占优势的，支配的，统治的；居高临下的； 由 ad .居高临下的 把握其""位置高""的核心含义——＞表示山峰""居高临下""，即 ad /高耸的",,,,Part3,1073,单词突围5200 上册,1.0
able,/dɪsˈeɪbld/,,ad .残疾的,There is a disabled man. 那里有一个残疾人。,划分：dis | able | (e)d 针对第1个元素采用,,,disable vt.使失去能力；使不起作用；disability n.残疾,Part2,1161,单词突围5200 上册,1.0
above,/əˈbʌv/ above,prep.,在…上面，在…上方；多于，大于；ad .上面的，上述的；上文 的；adv.在上面,There are thirty students above sixteen years old in our class. 我们班 有30名16岁以上的学生。,"① 还记得我们在记忆 below adv.在…下，在下面 这个单词时使用的这张图片吗？ 图中 above 便用作 below 的反义词，表示 adv.在上面； ② 记住 adv.在上面 的核心含义之后，对 above 的含义进行拓展，above 的核心 含义内核不仅仅表示物理方位上的在上方，而是表示""广义上在…之上""这个含 义——多于，大于，上述的，上文的 等等具体含义皆基于此含义。",,"above all 首先，首要； 对比辨析：above，over above 和 over 都表示""在…上""，但有区别。但表示非垂直上方的时候，一般用 above，如 I raise my arms above my head. 我把手臂举过头顶。over 意为""横 过，越过""，表示在垂直的上方，如：There is a bridge over the river. 河山有座 桥。above 还可以指""温度或高度高于某个标准""，如：The temperature is 32℃ above zero. 温度是零上32摄氏度。over 可以用来表示""速度高于""或""年龄超过""， 如：The boy is not over 10 years old. 那个男孩不到十岁。",,Part1,1017,单词突围5200 上册,1.0
absence,/ˈæbsəns/,n.,缺席，不在；缺席的时间；缺乏，不存在,His long illness and consequent absence put him far behind in his work. 他因病缺席很久，耽误了很多课程。,absent 为已经记忆过的单词，表示 ad .缺席的，不在的；缺乏的，不存在的；末 尾去掉 -ent 形容词后缀，加上 -ence 名词后缀，得到核心含义相同的名词含义， 即 n.缺席，不在；缺席的时间；缺乏，不存在,,,,Part3,750,单词突围5200 上册,1.0
absent,/ˈæbsənt/,,ad .缺席的，不在的；缺乏的，不存在的；心不在焉的； upgrade absent,He was absent 95 times from class and had 6 failing grades for the year. 今年他逃了95次课，6门功课不及格。,"划分：ab | sent 针对第1个元素采用谐音记忆法：ab 在单词中的发音类似中文里的""额…不""，即表 示否定、拒绝和反对； 针对第2个元素采用含义联想法：通过 sent 联想到已经记忆过的单词 present ad . 出席的，在场的； 综合考虑 ab（不）+ present（在场的）——> 不在场的，即表示 ad .缺席的， 不在的；稍作延伸，人在现场但心思早不在现场，即 ad . 心不在焉的； | 词根分析：ab：词缀，除了可以表示加强外，还可以表示否定，不； | 巧记：ab 谐音""啊不""，表示否定的含义",,be absent from 缺席,absence n.缺席；缺乏,Part3,749,单词突围5200 上册,1.0
absorb,/ˈselfɪʃ/,vt.,吸引；吸收；把…并入，同化,He is absorbed in reading. 他在全神贯注地看书。,划分：ab | sorb 针对第1个元素采用,,be absorbed in 全神贯注于…,absorption n.吸收,Part3,648,单词突围5200 上册,1.0
absorption,/əbˈzɔːrpʃn/,n.,吸收，全神贯注,His absorption in study is wonderful. 他专心研究使人敬佩。,absorb 为已经记忆过的单词，表示 vt.吸引；吸收；末尾加上 -ion 名词后缀，得 到核心含义相同的名词含义：① 表示吸收本身 n.吸收；② 表示被完全吸引注意 力，意为 n.全神贯注,,,,Part3,649,单词突围5200 上册,1.0
abstract,/ˈæbstrækt/,n.,抽象；概要；ad .抽象的；抽象派的；vt.做…摘要；提取,This is an abstract idea. 这是一个抽象概念。 ruinous abstract,划分：ab | s | tract 针对第1个元素采用,,,,Part3,651,单词突围5200 上册,1.0
abundance,/əˈbʌndəns/,n.,丰富，充足,The tree yields an abundance of fruit. 这树结果甚多。 abundance,abundant 为已经记忆过的单词，表示 ad .丰富的，充裕的；末尾去掉 -t 加上 -ce 名词后缀，得到核心含义相同的名词含义，表示 n.丰富，充足,,,,parts.这项实验展示了物体如何分解为其构成要素。,812,单词突围5200 上册,1.0
abundant,/əˈbʌndənt/,,ad .丰富的，充裕的,The rainforests are abundant in species. 这些雨林地区物种丰富。,virtually abundant 划分：ab | und | ant 针对第1个元素采用 | 词根分析：bund：词根，表示边界； | 巧记：通过 bund 的字形和发音联想到记忆 boundary n.边界 时已经接触过的词 根 bound - 边界，将 bund 视为 bound 的变形，表示边界,,abundant in 富于，富有,abundance n.丰富，充裕,parts.这项实验展示了物体如何分解为其构成要素。,811,单词突围5200 上册,1.0
abuse,/əˈb uːs/,vt.,滥用；虐待；辱骂；n.辱骂，粗话；虐待,Don't abuse your authority. 不要滥用你的权力。,划分：ab | use 针对第1个元素采用,,abuse one's authority 滥用职权；abuse of one's power 滥用某人的 权力；abuse one's children 虐待某人的孩子,abusive ad .虐待的；辱骂的,Part4,780,单词突围5200 上册,1.0
abusive,/əˈb uːsɪv/,,ad .滥用的，虐待的；辱骂的； abuse abusive,He made many abusive remarks to me. 他对我口出恶言。,abuse 为已经记忆过的单词，表示 vt.滥用；虐待；辱骂；末尾去掉 -e 再加上 -ive 形容词后缀，得到核心含义相同的形容词含义，表示 ad .滥用的，虐待的；辱 骂的,,,,Part4,780,单词突围5200 上册,1.0
academic,/ˌækəˈdemɪk/,,ad .学术的；纯理论的；不切实际的；（高等）院校的；n.大学教师；学 者,Their writings took powerful hold of academic circles. 他们的著作在学 术界有巨大的影响力。,"划分：aca | demic ① 针对第1个元素采用采用字形联想记忆法：仔细观察字母 a ，将下半部分的圆圈 想象成一个脑袋，将上半部分的曲线想象成一顶帽子，这样便能将字母 a 想象成一 个戴着帽子的头。 disagree academic 更具体一点，我们将其想象成代表高等教育和学术氛围的博士帽，如图： 又因为 aca 中出现了两个 a ，于是我们可以想象有一群带着博士帽的高知人群， 这样一群人聚集在一起形成的自然是浓厚的""学术""氛围。 这时候只需要将第2个元素 demic 看成是表示形容词性的后缀，即可得到 academic 的核心含义 ad .学术的； ② 记住 ad .学术的 含义之后，追问一个自然的问题 ——> 这种浓厚的学术氛围最 可能出现在什么地方呢？当然是那些""高等院校""的校园内，因此由 ad .学术的 可以 自然引申出另一个核心含义 ad .（高等）院校的； ③ 大家也许听说过梅贻琦的一句名言""所谓大学者,非谓有大楼之谓也,有大师之谓 也。""这是说，当我们谈论大学和学术时，应该把关注的中心放在""人""身上——那 么在高等院校中与浓厚的""学术""氛围对应的是哪些人呢？自然是那些兢兢业业、深 刻广博的""大学教师""和""学者""们。进一步延伸，那些""学者""们兢兢业业地研究着那 些""纯理论的""东西，换个角度思考，如果那些""纯理论""的没有落地，也可以说是种"" 不切实际""的。 故 academic 作名词时表示 n.大学教师；学者；作形容词时表示ad .学术的；纯理 论的； | 词根分析：aca：词缀，表示学术或与学术相关； | 巧记：通过 a 与 带着博士帽的脑袋之间的联想记住 aca 与学术的紧密关系。",,,academician n.院士,Part2,45,单词突围5200 上册,1.0
